task,lang,f2p_total,gpt55_solved,gpt55_f2p,gpt55_prog,gpt55_prog_miss,gpt55_n,glm52_solved,glm52_f2p,glm52_prog,glm52_prog_miss,glm52_n
abs-module-cache-flags,go,20,3/4,3/4,0.988,0.95,4,4/4,4/4,1.0,,4
abs-stepped-slices,go,6,4/4,4/4,1.0,,4,2/4,2/4,0.917,0.833,4
actionlint-action-pinning-lint,go,55,4/4,4/4,1.0,,4,3/4,3/4,0.995,0.982,4
adaptix-name-mapping-aliases,python,44,4/4,4/4,1.0,,4,4/4,4/4,1.0,,4
aiomonitor-task-snapshots-diff,python,53,4/4,4/4,1.0,,4,2/4,2/4,0.925,0.849,4
anko-default-function-arguments,go,2,3/4,4/4,1.0,1.0,4,3/4,3/4,0.875,0.5,4
anko-typed-variable-bindings,go,9,4/4,4/4,1.0,,4,2/4,2/4,0.722,0.444,4
arcane-drift-detection-baselines,go,82,4/4,4/4,1.0,,4,2/4,2/4,0.927,0.854,4
arktype-json-schema-refs-dependencies,typescript,25,0/4,0/4,0.935,0.935,4,0/4,0/4,0.926,0.926,4
awilix-async-container-initialization,typescript,24,3/4,3/4,0.75,0.0,4,3/4,3/4,0.75,0.0,4
bandit-incremental-cache-control,python,88,1/4,1/4,1.0,1.0,4,0/4,0/4,0.98,0.98,4
bandit-interprocedural-taint-checks,python,66,1/4,1/4,1.0,1.0,4,0/4,0/4,0.822,0.822,4
bandit-structured-nosec-directives,python,69,0/4,0/4,0.0,0.0,4,1/4,1/4,0.25,0.0,4
boa-hierarchical-evaluation-cancellation,rust,17,3/4,3/4,0.75,0.0,4,0/4,0/4,0.471,0.471,4
cattrs-partial-structuring-recovery,python,69,2/4,2/4,0.993,0.986,4,4/4,4/4,1.0,,4
clack-async-autocomplete-options,typescript,82,0/4,0/4,0.0,0.0,4,3/4,3/4,0.75,0.0,4
claude-code-by-agents-recursive-delegation,typescript,7,0/4,0/4,0.0,0.0,4,1/4,1/4,0.25,0.0,4
cliffy-config-file-parsing,typescript,37,1/4,1/4,0.25,0.0,4,2/4,2/4,0.5,0.0,4
csstree-shorthand-expansion-compression,javascript,79,4/4,4/4,1.0,,4,0/4,0/4,0.864,0.864,4
dasel-html-document-format,go,146,3/4,3/4,0.998,0.993,4,2/4,2/4,0.997,0.993,4
dateutil-rfc5545-timezone-interop,python,67,1/4,4/4,1.0,1.0,4,0/4,0/4,1.0,1.0,4
drizzle-orm-window-function-builders,typescript,130,4/4,4/4,1.0,,4,2/4,2/4,0.5,0.0,4
